supermarket_EDLP_0,supermarket_Dynamic_1
354,427
249,139
500,701
853,322
201,445
1022,360
587,383
470,501
386,636
230,559
833,266
289,798
542,98
948,658
167,482
745,225
443,714
528,514
457,193
501,624
685,305
369,758
555,199
921,460
349,412
759,693
559,332
45,327
609,856
745,177
676,442
426,333
442,721
322,425
911,276
273,815
424,109
546,622
868,660
390,144
506,778
866,168
209,744
779,299
616,497
104,430
511,553
959,366
158,555
962,508
293,229
526,392
652,662
713,602
430,210
177,574
687,265
789,746
626,122
375,479
301,471
644,781
299,516
811,199
636,648
236,444
794,588
414,69
418,452
580,836
764,54
419,484
654,564
203,665
721,209
494,792
550,497
545,264
846,439
214,513
499,474
770,422
683,385
327,709
701,169
624,617
268,250
514,580
392,632
586,253
497,381
837,437
165,498
931,664
558,236
320,593
428,682
827,157
148,404
645,453
900,594
424,399
675,527
216,596
445,168
850,745
644,575
480,376
351,223
726,782
131,298
960,622
200,150
920,606
79,539
634,234
734,782
620,308
548,591
364,331
790,298
478,634
234,281
765,660
695,583
287,458
607,249
529,516
725,296
269,524
473,477
762,623
393,266
548,519
402,766
448,135
1016,723
9,91
1055,635
502,504
433,537
356,301
617,600
758,529
285,351
811,397
72,371
677,806
617,165
725,745
522,318
133,329
650,589
633,279
342,409
985,729
59,466
705,189
502,831
705,124
696,858
235,256
814,603
563,344
186,424
932,324
519,379
523,604
569,542
218,455
590,588
526,123
509,820
626,136
393,850
699,294
710,381
528,583
319,163
558,686
288,373
909,445
576,470
180,667
852,581
227,146
569,770
761,197
461,651
489,274
730,346
488,599
420,610
658,207
485,423
751,757
141,302
436,371
609,399
789,525
621,535
424,390
265,655
720,468
545,379
586,347
798,364
66,562
667,424
794,609
163,324
607,498
730,494
447,625
840,497
132,459
846,515
377,386
308,594
520,184
926,735
532,340
422,583
777,373
129,418
459,222
875,526
179,411
927,695
637,221
461,494
526,359
312,498
751,765
385,186
783,768
231,306
451,559
663,359
583,368
494,481
725,328
502,523
552,395
521,495
359,516
784,457
535,515
126,309
1054,854
97,483
611,411
759,502
337,407
504,406
734,311
749,300
367,524
512,567
376,622
526,355
647,392
788,637
337,445
486,433
600,126
608,533
767,616
53,219
661,550
901,607
244,554
856,322
170,347
955,628
306,210
477,823
727,280
501,355
576,304
467,459
629,860
474,191
733,322
50,777
709,517
560,467
820,135
495,544
244,550
929,516
337,415
557,427
797,343
607,547
314,99
507,623
360,440
551,434
840,505
602,345
334,732
592,274
736,190
343,717
947,516
231,130
657,621
725,378
173,518
745,523
602,533
334,88
949,539
385,503
711,491
286,207
790,880
252,144
758,618
591,200
268,710
705,145
695,639
694,647
65,423
1062,420
82,244
753,461
793,354
129,681
639,384
843,502
379,533
754,137
315,534
475,582
521,459
764,431
494,155
393,618
963,510
290,295
332,613
1013,477
451,215
250,644
904,508
400,229
752,543
605,274
187,749
802,81
498,638
754,280
572,726
305,504
319,245
764,606
560,82
615,578
744,538
158,484
845,458
359,308
