supermarket_EDLP_0,supermarket_Dynamic_1
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,80
70,85
70,80
70,75
70,80
70,75
70,80
70,75
70,70
70,75
70,70
70,65
70,70
70,65
70,70
70,65
70,70
70,65
70,70
70,65
70,60
70,65
70,60
70,65
70,60
70,65
70,60
70,55
70,60
70,55
70,60
70,65
70,60
70,65
70,60
70,65
70,60
70,65
70,60
70,65
70,60
70,65
70,60
70,55
70,60
70,65
70,60
70,55
70,60
70,55
70,60
70,55
70,60
70,55
70,60
70,55
70,50
70,55
70,50
70,55
70,50
70,55
70,60
70,55
70,60
70,65
70,70
70,65
70,70
70,65
70,60
70,65
70,70
70,65
70,60
70,55
70,60
70,55
70,60
70,55
70,60
70,65
70,60
70,65
70,70
70,75
70,80
70,75
70,80
70,85
70,80
70,85
70,90
70,95
70,90
70,95
70,100
70,95
70,100
70,95
70,90
70,85
70,90
70,85
70,90
70,85
70,90
70,85
70,80
70,85
70,80
70,85
70,80
70,75
70,80
70,75
70,80
70,75
70,70
70,65
70,70
70,65
70,70
70,65
70,70
70,65
70,70
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,70
70,65
70,70
70,65
70,70
70,65
70,70
70,65
70,70
70,75
70,70
70,75
70,80
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,80
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,70
70,75
70,80
70,75
70,80
70,75
70,80
70,85
70,90
70,85
70,80
70,85
70,80
70,85
70,80
70,85
70,90
70,95
70,90
70,95
70,100
70,95
70,100
70,105
70,110
70,115
70,110
70,115
70,110
70,105
70,100
70,105
70,110
70,105
70,110
70,105
70,110
70,105
70,110
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,100
70,105
70,110
70,105
70,110
70,105
70,110
70,105
70,110
70,115
70,110
70,115
70,110
70,115
70,120
70,115
70,120
70,115
70,120
70,115
70,110
70,115
70,110
70,105
70,100
70,95
70,100
70,105
70,110
70,105
70,110
70,115
70,110
70,105
70,100
70,105
70,110
70,105
70,110
70,115
70,110
70,105
70,110
70,115
70,110
70,115
70,110
70,115
70,110
70,115
70,120
70,115
70,120
70,125
70,120
70,115
70,110
70,115
70,120
70,115
70,110
70,115
70,110
70,115
70,110
70,115
70,110
70,105
70,110
70,105
70,110
70,105
70,100
70,105
70,100
70,95
70,100
70,95
70,100
70,105
70,110
70,105
70,110
70,105
70,100
70,95
70,100
70,95
70,100
70,95
70,100
70,95
70,100
70,105
70,100
70,95
70,90
70,95
70,90
70,95
70,90
70,95
70,100
70,95
70,100
70,105
70,100
70,95
70,90
70,95
70,90
70,85
70,90
70,85
70,80
70,85
70,80
70,75
70,80
70,75
70,80
70,75
70,80
70,75
70,80
70,75
70,70
70,75
70,70
70,75
70,70
70,65
70,60
70,55
