supermarket_EDLP_0,supermarket_Dynamic_1
13903,11997
27806,23994
41709,35991
55612,47988
69515,59985
83418,71982
97321,83979
111224,95976
125127,107973
139030,119970
152933,131967
166836,143964
180739,155961
194642,167958
208545,179955
222448,191952
236351,203949
250254,215946
264157,227943
278060,239940
291963,251937
305866,263934
319769,275931
333672,287928
347575,299925
361478,311922
375381,323919
389284,335916
403187,347913
417090,359910
430993,371907
444896,383904
458799,395901
472702,407898
486605,419895
500508,431892
514411,443889
528314,455886
542217,467883
556120,479880
570023,491877
583926,503874
597829,515871
611732,527868
625635,539865
639538,551862
653441,563859
667344,575856
681247,587853
695150,599850
709053,611847
722956,623844
736859,635841
750762,647838
764665,659835
778568,671832
792471,683829
806374,695826
820277,707823
834180,719820
848083,731817
861986,743814
875889,755811
889792,767808
903695,779805
917598,791802
931501,803799
945404,815796
959307,827793
973210,839790
987113,851787
1001016,863784
1014919,875781
1028822,887778
1042725,899775
1056628,911772
1070531,923769
1084434,935766
1098337,947763
1112240,959760
1126143,971757
1140046,983754
1153949,995751
1167852,1007748
1181755,1019745
1195658,1031742
1209561,1043739
1223464,1055736
1237367,1067733
1251270,1079730
1265173,1091727
1279076,1103724
1292979,1115721
1306882,1127718
1320785,1139715
1334688,1151712
1348591,1163709
1362494,1175706
1376397,1187703
1390300,1199700
1404203,1211697
1418106,1223694
1432009,1235691
1445912,1247688
1459815,1259685
1473718,1271682
1487621,1283679
1501524,1295676
1515427,1307673
1529330,1319670
1543233,1331667
1557136,1343664
1571039,1355661
1584942,1367658
1598845,1379655
1612748,1391652
1626651,1403649
1640554,1415646
1654457,1427643
1668360,1439640
1682263,1451637
1696166,1463634
1710069,1475631
1723972,1487628
1737875,1499625
1751778,1511622
1765681,1523619
1779584,1535616
1793487,1547613
1807390,1559610
1821293,1571607
1835196,1583604
1849099,1595601
1863002,1607598
1876905,1619595
1890808,1631592
1904711,1643589
1918614,1655586
1932517,1667583
1946420,1679580
1960323,1691577
1974226,1703574
1988129,1715571
2002032,1727568
2015935,1739565
2029838,1751562
2043741,1763559
2057644,1775556
2071547,1787553
2085450,1799550
2099353,1811547
2113256,1823544
2127159,1835541
2141062,1847538
2154965,1859535
2168868,1871532
2182771,1883529
2196674,1895526
2210577,1907523
2224480,1919520
2238383,1931517
2252286,1943514
2266189,1955511
2280092,1967508
2293995,1979505
2307898,1991502
2321801,2003499
2335704,2015496
2349607,2027493
2363510,2039490
2377413,2051487
2391316,2063484
2405219,2075481
2419122,2087478
2433025,2099475
2446928,2111472
2460831,2123469
2474734,2135466
2488637,2147463
2502540,2159460
2516443,2171457
2530346,2183454
2544249,2195451
2558152,2207448
2572055,2219445
2585958,2231442
2599861,2243439
2613764,2255436
2627667,2267433
2641570,2279430
2655473,2291427
2669376,2303424
2683279,2315421
2697182,2327418
2711085,2339415
2724988,2351412
2738891,2363409
2752794,2375406
2766697,2387403
2780600,2399400
2794503,2411397
2808406,2423394
2822309,2435391
2836212,2447388
2850115,2459385
2864018,2471382
2877921,2483379
2891824,2495376
2905727,2507373
2919630,2519370
2933533,2531367
2947436,2543364
2961339,2555361
2975242,2567358
2989145,2579355
3003048,2591352
3016951,2603349
3030854,2615346
3044757,2627343
3058660,2639340
3072563,2651337
3086466,2663334
3100369,2675331
3114272,2687328
3128175,2699325
3142078,2711322
3155981,2723319
3169884,2735316
3183787,2747313
3197690,2759310
3211593,2771307
3225496,2783304
3239399,2795301
3253302,2807298
3267205,2819295
3281108,2831292
3295011,2843289
3308914,2855286
3322817,2867283
3336720,2879280
3350623,2891277
3364526,2903274
3378429,2915271
3392332,2927268
3406235,2939265
3420292,2951108
3434349,2962951
3448406,2974794
3462463,2986637
3476520,2998480
3490577,3010323
3504634,3022166
3518691,3034009
3532748,3045852
3546805,3057695
3560862,3069538
3574919,3081381
3588976,3093224
3603033,3105067
3617090,3116910
3631147,3128753
3645204,3140596
3659261,3152439
3673318,3164282
3687375,3176125
3701432,3187968
3715489,3199811
3729546,3211654
3743603,3223497
3757660,3235340
3771717,3247183
3785774,3259026
3799831,3270869
3813888,3282712
3827945,3294555
3842002,3306398
3856059,3318241
3870116,3330084
3884173,3341927
3898230,3353770
3912287,3365613
3926344,3377456
3940401,3389299
3954458,3401142
3968559,3412941
3982858,3424542
3997157,3436143
4011456,3447744
4025755,3459345
4040054,3470946
4054353,3482547
4068652,3494148
4082951,3505749
4097250,3517350
4111549,3528951
4125848,3540552
4140147,3552153
4154446,3563754
4168745,3575355
4183044,3586956
4197343,3598557
4211642,3610158
4225941,3621759
4240240,3633360
4254539,3644961
4268838,3656562
4283137,3668163
4297436,3679764
4311735,3691365
4326034,3702966
4340333,3714567
4354632,3726168
4368931,3737769
4383230,3749370
4397529,3760971
4411828,3772572
4426127,3784173
4440426,3795774
4454725,3807375
4469024,3818976
4483323,3830577
4497622,3842178
4511921,3853779
4526220,3865380
4540519,3876981
4554818,3888582
4569117,3900183
4583416,3911784
4597715,3923385
4612014,3934986
4626313,3946587
4640612,3958188
4654911,3969789
4669210,3981390
4683509,3992991
4697808,4004592
4712107,4016193
4726406,4027794
4740705,4039395
4755004,4050996
4769303,4062597
4783602,4074198
4797901,4085799
4812200,4097400
4826499,4109001
4840798,4120602
4855097,4132203
4869396,4143804
4883695,4155405
4897994,4167006
4912293,4178607
4926592,4190208
4940891,4201809
4955190,4213410
4969489,4225011
4983788,4236612
4998087,4248213
5012386,4259814
5026685,4271415
5040984,4283016
5055283,4294617
5069582,4306218
5083881,4317819
5098180,4329420
5112479,4341021
