supermarket_EDLP_0,supermarket_Dynamic_1
25074,15416.0
50568,32382.0
76062,49578.0
101556,67354.0
127050,87030.0
152544,106036.0
178038,126322.0
203532,148808.0
229110,172500.0
254688,195282.0
280308,219082.0
305970,243600.0
332640,267090.0
359310,287640.0
385980,309260.0
412650,330480.0
439320,351680.0
465990,372740.0
492660,394630.0
519498,417662.0
546840,440130.0
574938,461082.0
604170,479570.0
633402,497428.0
662802,515108.0
692622,532468.0
722442,548468.0
752262,564048.0
782082,579438.0
811902,595578.0
841722,610948.0
871542,626728.0
901362,642538.0
931182,656988.0
961002,671408.0
990822,686668.0
1020642,700118.0
1050462,714238.0
1080282,729098.0
1110102,743688.0
1139922,758438.0
1169742,772978.0
1199562,787708.0
1229382,803078.0
1259202,818448.0
1289022,834128.0
1318842,850318.0
1348662,865498.0
1378482,879578.0
1408302,891778.0
1438122,904728.0
1467942,917408.0
1497762,929678.0
1527582,941898.0
1557402,954748.0
1587222,968268.0
1617042,982088.0
1646862,995398.0
1676682,1009148.0
1706502,1022448.0
1736322,1036138.0
1766142,1050228.0
1795962,1064988.0
1825782,1079618.0
1855602,1094528.0
1885422,1108908.0
1915242,1123408.0
1945062,1138268.0
1974882,1151778.0
2004702,1165068.0
2034522,1178418.0
2064342,1192478.0
2094162,1206778.0
2123982,1221598.0
2153802,1236588.0
2183622,1252178.0
2213442,1267858.0
2243262,1284218.0
2273082,1301468.0
2302902,1317868.0
2332722,1335118.0
2362542,1351688.0
2392362,1368168.0
2422182,1385108.0
2452002,1400808.0
2481822,1417038.0
2511642,1434188.0
2542428,1449152.0
2573256,1463924.0
2605554,1474986.0
2638020,1485540.0
2670570,1495790.0
2703372,1505608.0
2736174,1515226.0
2768976,1524764.0
2801778,1534312.0
2834580,1543910.0
2867382,1553698.0
2900184,1562946.0
2932986,1572354.0
2965788,1581862.0
2998590,1591640.0
3031392,1601148.0
3064194,1610686.0
3096996,1620474.0
3129798,1630292.0
3162600,1640030.0
3195402,1649568.0
3228204,1659126.0
3261006,1668804.0
3293808,1678622.0
3326610,1688160.0
3359412,1697918.0
3392214,1707736.0
