supermarket_EDLP_0,supermarket_Dynamic_1
70,72.0
70,74.0
70,72.0
70,74.0
70,72.0
70,74.0
70,72.0
70,74.0
70,76.0
70,74.0
70,76.0
70,74.0
70,76.0
70,78.0
70,76.0
70,74.0
70,76.0
70,78.0
70,76.0
70,74.0
70,76.0
70,74.0
70,76.0
70,74.0
70,72.0
70,70.0
70,72.0
70,74.0
70,72.0
70,70.0
70,68.0
70,70.0
70,68.0
70,70.0
70,68.0
70,70.0
70,72.0
70,70.0
70,72.0
70,70.0
70,72.0
70,70.0
70,72.0
70,70.0
70,68.0
70,70.0
70,72.0
70,70.0
70,72.0
70,70.0
70,72.0
70,74.0
70,72.0
70,74.0
70,76.0
70,74.0
70,72.0
70,74.0
70,72.0
70,74.0
70,72.0
70,74.0
70,76.0
70,78.0
70,76.0
70,78.0
70,80.0
70,78.0
70,80.0
70,78.0
70,80.0
70,82.0
70,80.0
70,78.0
70,76.0
70,78.0
70,76.0
70,78.0
70,76.0
70,78.0
70,80.0
70,82.0
70,80.0
70,82.0
70,80.0
70,82.0
70,84.0
70,82.0
70,84.0
70,82.0
70,84.0
70,86.0
70,84.0
70,86.0
70,84.0
70,86.0
70,84.0
70,86.0
70,84.0
70,82.0
70,84.0
70,82.0
70,84.0
70,86.0
70,88.0
70,90.0
70,92.0
70,90.0
70,92.0
70,90.0
70,92.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,98.0
70,100.0
70,98.0
70,96.0
70,98.0
70,96.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,98.0
70,100.0
70,98.0
70,96.0
70,94.0
70,96.0
70,98.0
70,96.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,90.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,90.0
70,92.0
70,90.0
70,92.0
70,90.0
70,88.0
70,90.0
70,88.0
70,90.0
70,92.0
70,90.0
70,92.0
70,90.0
70,92.0
70,90.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,98.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,92.0
70,90.0
70,88.0
70,86.0
70,88.0
70,86.0
70,88.0
70,90.0
70,88.0
70,90.0
70,88.0
70,86.0
70,84.0
70,86.0
70,88.0
70,86.0
70,88.0
70,86.0
70,88.0
70,86.0
70,88.0
70,86.0
70,88.0
70,90.0
70,90.0
70,92.0
70,90.0
70,88.0
70,90.0
70,88.0
70,90.0
70,88.0
70,90.0
70,88.0
70,86.0
70,88.0
70,90.0
70,88.0
70,90.0
70,88.0
70,86.0
70,88.0
70,90.0
70,88.0
70,90.0
70,92.0
70,90.0
70,92.0
70,94.0
70,96.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,98.0
70,96.0
70,94.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,98.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,92.0
70,90.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,94.0
70,92.0
70,90.0
70,92.0
70,90.0
70,92.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
70,94.0
70,96.0
