supermarket_EDLP_0,supermarket_Dynamic_1
21014,19492.0
42028,39520.0
63042,59296.0
84056,79060.0
105070,99014.0
126084,118846.0
147098,138428.0
168112,158572.0
189126,179132.0
210140,199408.0
231154,220002.0
252168,240314.0
273182,260974.0
294196,281916.0
315210,303254.0
336224,323552.0
357238,344418.0
378252,365434.0
399266,386894.0
420280,407326.0
441294,427742.0
462308,448428.0
483322,468802.0
504336,489672.0
525350,509898.0
546364,529028.0
567378,548264.0
588392,568030.0
609406,588184.0
630420,607612.0
651434,626236.0
672448,644542.0
693462,662828.0
714476,681182.0
735490,699406.0
756504,718086.0
777518,737150.0
798532,756600.0
819546,775546.0
840560,794478.0
861574,813762.0
882588,832912.0
903602,851936.0
924616,871264.0
945630,889738.0
966644,908242.0
987658,927242.0
1008672,946482.0
1029686,965634.0
1050700,984868.0
1071714,1004020.0
1092728,1023732.0
1113742,1043380.0
1134756,1063618.0
1155770,1084098.0
1176784,1104868.0
1197798,1124478.0
1218812,1144064.0
1239826,1163792.0
1260840,1183704.0
1281854,1203496.0
1302868,1223660.0
1323882,1244542.0
1344896,1265804.0
1365910,1286786.0
1386924,1308240.0
1407938,1330188.0
1428952,1351854.0
1449966,1373588.0
1470980,1395456.0
1491994,1417648.0
1513008,1440104.0
1534022,1462926.0
1555036,1485026.0
1576050,1506294.0
1597064,1527318.0
1618078,1548366.0
1639092,1569822.0
1660106,1590744.0
1681120,1612236.0
1702134,1634248.0
1723148,1656608.0
1744162,1679108.0
1765176,1701562.0
1786190,1724248.0
1807204,1746880.0
1828218,1770024.0
1849232,1793306.0
1870246,1816368.0
1891260,1839612.0
1912274,1862746.0
1933288,1886384.0
1954302,1910030.0
1975316,1933706.0
1996330,1957574.0
2017344,1981274.0
2038358,2004944.0
2059372,2028608.0
2080386,2052770.0
2101400,2076056.0
2122414,2099136.0
2143428,2122164.0
2164442,2145760.0
2185456,2170050.0
2206470,2194930.0
2227484,2220288.0
2248498,2246012.0
2269512,2271806.0
2290526,2297502.0
2311540,2323430.0
2332554,2349450.0
2353568,2376028.0
2374582,2402448.0
2395596,2429270.0
2416610,2456392.0
2437624,2483658.0
2458638,2511192.0
2479652,2539382.0
2500666,2568158.0
2521680,2596740.0
2542694,2624548.0
2563708,2652254.0
2584722,2680522.0
2605736,2708030.0
2626750,2734440.0
2647764,2761122.0
2668778,2787464.0
2689792,2814120.0
2710806,2840610.0
2731820,2867412.0
2752834,2894560.0
2773848,2921610.0
2794862,2949128.0
2815876,2976176.0
2836890,3003722.0
2857904,3031756.0
2878918,3060228.0
2899932,3089172.0
2920946,3117424.0
2941960,3144772.0
2962974,3172306.0
2983988,3200214.0
3005002,3228536.0
3026016,3256102.0
3047030,3282492.0
3068044,3308846.0
3089058,3335454.0
3110072,3362160.0
3131086,3388718.0
3152100,3414370.0
3173114,3440544.0
3194128,3467058.0
3215142,3493574.0
3236156,3519956.0
3257170,3546890.0
3278184,3572578.0
3299198,3598724.0
3320212,3624630.0
3341226,3650376.0
3362240,3676574.0
3383254,3701646.0
3404268,3726792.0
3425282,3751766.0
3446296,3777224.0
3467310,3803064.0
3488324,3829040.0
3509338,3855138.0
3530352,3880850.0
3551366,3906632.0
3572380,3932526.0
3593394,3958658.0
3614408,3985474.0
3635422,4012726.0
3656436,4039738.0
3677450,4066766.0
3698464,4094244.0
3719478,4120796.0
3740492,4147660.0
3761506,4174894.0
3782520,4202244.0
3803534,4228638.0
3824548,4255166.0
3845562,4282044.0
3866576,4308382.0
3887590,4334814.0
3908604,4361754.0
3929618,4389338.0
3950632,4416344.0
3971646,4443924.0
3992660,4472058.0
4013674,4500056.0
4034688,4527348.0
4055702,4554598.0
4076716,4581696.0
4097730,4608894.0
4118744,4636392.0
4139758,4663240.0
4160772,4689390.0
4181786,4714740.0
4202800,4739108.0
4223814,4763424.0
4244828,4788148.0
4265842,4812736.0
4286856,4837916.0
4307870,4863212.0
4328884,4888416.0
4349898,4913908.0
4370912,4938760.0
4391926,4962410.0
4412940,4986642.0
4433954,5011360.0
4454968,5035904.0
4475982,5060318.0
4496996,5084850.0
4518010,5109452.0
4539024,5133768.0
4560038,5158140.0
4581052,5182718.0
4602066,5207474.0
4623080,5232776.0
4644094,5258422.0
4665108,5284090.0
4686122,5310158.0
4707136,5335200.0
4728150,5360574.0
4749164,5385678.0
4770178,5411188.0
4791192,5436250.0
4812206,5461548.0
4833220,5487106.0
4854234,5511826.0
4875248,5536508.0
4896262,5561770.0
4917276,5587198.0
4938290,5612210.0
4959304,5637756.0
4980318,5662452.0
5001332,5687040.0
5022346,5712172.0
5043360,5737390.0
5064374,5762924.0
5085388,5788728.0
5106402,5814596.0
5127416,5840884.0
5148430,5867856.0
5169444,5894916.0
5190458,5922450.0
5211472,5949142.0
5232486,5975614.0
5253500,6002236.0
5274514,6028910.0
5295528,6055516.0
5316542,6082134.0
5337556,6109280.0
5358570,6136720.0
5379584,6163794.0
5400598,6191234.0
5421612,6218408.0
5442626,6245978.0
5463640,6272568.0
5484654,6298972.0
5505668,6325326.0
5526682,6352216.0
5547696,6379514.0
5568710,6406580.0
5589724,6434164.0
5610738,6461864.0
5631752,6490180.0
5652766,6517608.0
5673780,6543952.0
5694794,6570762.0
5715808,6598010.0
5736822,6625036.0
5757836,6652528.0
