supermarket_EDLP_0,supermarket_Dynamic_1
25844,14111.0
51688,28627.0
77532,43643.0
103376,59729.0
129220,76100.0
155064,92186.0
180908,108787.0
206752,125313.0
232596,141594.0
258440,158060.0
284284,174246.0
310128,190612.0
335972,207578.0
361816,225109.0
387660,242220.0
413504,260011.0
439348,277327.0
465192,295213.0
491036,313439.0
516880,332095.0
542724,350946.0
568568,370602.0
594412,391093.0
620256,411929.0
646100,431690.0
671944,451116.0
697788,471462.0
723632,492183.0
749476,512904.0
775320,533260.0
801164,553626.0
827008,574432.0
852852,594633.0
878696,615314.0
904540,635795.0
930384,656546.0
956228,676807.0
982072,697758.0
1007916,718209.0
1033760,739595.0
1059604,761216.0
1085448,783112.0
1111292,806043.0
1137220,829205.0
1163400,852570.0
1189580,874670.0
1215760,895275.0
1241940,916360.0
1268120,937270.0
1294300,957915.0
1320480,978925.0
1346660,999875.0
1372840,1021560.0
1399020,1043300.0
1425200,1065540.0
1451380,1088515.0
1477560,1111425.0
1503740,1133190.0
1529920,1155335.0
1556100,1178155.0
1582280,1201475.0
1608460,1223700.0
1634640,1244630.0
1660820,1265565.0
1687000,1286280.0
1713180,1306855.0
1739360,1327570.0
1765540,1348365.0
1791720,1369670.0
1817900,1389435.0
1844080,1409800.0
1870260,1431050.0
1896440,1453140.0
1922620,1474730.0
1948800,1497210.0
1974980,1520045.0
2001160,1543260.0
2027340,1565445.0
2053520,1587040.0
2079700,1608650.0
2105880,1630450.0
2132060,1652315.0
2158240,1674215.0
2184420,1696740.0
2210600,1720200.0
2236780,1741935.0
2262960,1764100.0
2289140,1785915.0
2315320,1806545.0
2341500,1827220.0
2367680,1848670.0
2393860,1868840.0
2420040,1888805.0
2446220,1909430.0
2472400,1930735.0
2498580,1950550.0
2524760,1970190.0
2550940,1990150.0
2577120,2010330.0
2603300,2030900.0
2629480,2051680.0
2655660,2072870.0
2681840,2093660.0
2708020,2114780.0
2734200,2135330.0
2760380,2156175.0
2786560,2177320.0
2812740,2197330.0
2838920,2217330.0
2865100,2237095.0
2891280,2256735.0
2917460,2277155.0
2943640,2296185.0
2969820,2315105.0
2996000,2333895.0
3022180,2353035.0
3048360,2372255.0
3074540,2389980.0
3100720,2408535.0
3126900,2427960.0
3153080,2447840.0
3179260,2468045.0
3205440,2487700.0
3231620,2507500.0
3257800,2527320.0
3283980,2547235.0
3310160,2566955.0
3336340,2587315.0
3362520,2606225.0
3388700,2625200.0
3414880,2644525.0
3441060,2662260.0
3467240,2680105.0
3493420,2698685.0
3519600,2715730.0
3545780,2733225.0
3571960,2751335.0
3598140,2769205.0
3624320,2787230.0
3650500,2805255.0
3676680,2823595.0
3702860,2842980.0
3729040,2861635.0
3755220,2881055.0
3781400,2900810.0
3807580,2920420.0
3833760,2940240.0
3859940,2959845.0
3886120,2979595.0
3912300,3000105.0
3938480,3019590.0
3964660,3037800.0
3990840,3054455.0
4017020,3071170.0
4043200,3088135.0
4069380,3105640.0
4095560,3123870.0
4121740,3142685.0
4147920,3162235.0
4174100,3180180.0
4200280,3197995.0
4226460,3216250.0
4252640,3234170.0
4278820,3252125.0
4305000,3270675.0
4331180,3289370.0
4357360,3308435.0
4383540,3327565.0
4409720,3347655.0
4435900,3368645.0
4462080,3390185.0
4488260,3412045.0
4514440,3434310.0
4540620,3457135.0
4566800,3479715.0
4592980,3502235.0
4619160,3525675.0
4645340,3547205.0
4671520,3569560.0
4697700,3592465.0
4723880,3615385.0
4750060,3638170.0
4776240,3661345.0
4802420,3684155.0
4828600,3707625.0
4854822,3731038.0
4881674,3753846.0
4908988,3775857.0
4936596,3797244.0
4964288,3818292.0
4992064,3839451.0
5019882,3860273.0
5047700,3881000.0
5075686,3901824.0
5104008,3922327.0
5132414,3942411.0
5161408,3961537.0
5190780,3979920.0
5220362,3997863.0
5250364,4014896.0
5280408,4031522.0
5310452,4048078.0
5340580,4064870.0
5370708,4080962.0
