supermarket_EDLP_0,supermarket_Dynamic_1
491,324
123,409
892,412
467,334
626,200
791,363
391,438
920,407
536,427
345,566
487,96
1054,739
277,139
936,393
709,291
610,714
630,358
361,141
274,355
1022,736
569,151
350,491
500,240
1061,602
397,430
893,325
238,227
941,609
378,103
759,436
321,729
687,42
821,692
258,130
884,451
542,584
819,185
218,485
908,436
619,151
631,439
645,702
180,302
795,436
524,175
567,317
856,475
572,368
778,427
249,584
573,315
798,506
628,157
519,376
572,350
958,599
636,75
414,415
679,341
382,613
686,300
719,406
705,190
669,545
472,312
962,548
549,51
348,492
546,529
975,185
675,545
770,254
303,282
848,425
607,367
656,234
813,285
372,409
507,354
940,297
985,147
345,453
489,434
1185,229
236,194
985,542
308,265
1061,241
762,350
721,403
564,164
316,538
1145,280
651,413
663,113
413,338
775,221
570,485
366,306
783,189
1242,305
97,590
620,132
1026,515
658,124
542,401
1012,227
488,404
902,474
701,226
414,313
488,449
1063,127
612,532
769,137
195,312
1025,263
743,382
766,431
168,241
898,261
773,279
649,344
508,260
498,428
750,356
1208,215
259,475
669,128
818,602
813,126
267,243
782,316
1141,479
75,317
1039,485
382,165
839,253
709,246
698,581
826,234
412,190
895,384
342,394
824,363
952,284
447,333
758,403
693,127
603,532
1035,184
439,433
403,240
585,313
1070,182
644,419
474,304
1073,362
589,332
234,355
1090,374
501,178
998,311
523,413
900,127
522,568
277,311
1188,137
579,420
709,205
324,332
868,273
876,316
143,618
993,295
552,268
842,228
951,435
273,194
1011,377
332,284
845,306
536,257
748,407
987,177
66,569
951,150
1068,426
345,224
652,425
742,386
796,328
331,345
551,146
862,434
611,138
599,560
775,138
1039,464
274,300
1122,218
544,468
755,263
352,224
1203,473
20,206
1106,435
591,49
414,444
1038,456
243,312
1086,387
696,125
666,366
340,311
806,412
804,260
986,412
405,274
387,381
1222,290
426,139
776,429
748,344
724,218
613,509
507,162
470,346
1033,390
234,383
976,248
380,284
997,280
441,379
638,315
913,253
813,526
216,64
889,536
678,224
876,565
224,232
1212,385
647,166
578,370
259,394
669,226
811,390
950,579
663,346
350,76
741,626
502,123
741,479
742,284
883,480
83,334
723,201
1128,456
620,214
284,465
673,338
719,213
869,314
711,358
250,535
602,356
632,395
778,343
851,267
620,493
693,284
537,363
578,440
420,204
643,495
715,226
1010,348
351,588
732,346
864,264
352,144
452,497
939,418
802,189
293,458
631,516
501,271
1051,438
233,351
1073,306
282,338
807,332
254,486
1073,331
221,241
960,398
395,589
828,462
186,248
905,451
706,265
446,509
462,466
561,328
977,313
697,323
293,541
580,256
764,483
556,412
413,471
928,369
672,378
334,400
602,314
794,413
473,519
811,249
296,559
469,382
806,106
834,582
461,275
625,434
402,477
504,482
1046,202
631,285
670,500
623,363
474,366
748,518
428,551
299,151
804,593
952,282
60,470
713,95
1071,330
617,596
570,199
797,511
71,213
885,423
984,262
688,558
578,133
468,288
778,386
260,356
1138,357
473,275
985,416
420,220
889,312
266,483
764,368
489,74
1172,553
357,77
488,530
1178,187
726,220
459,514
