supermarket_EDLP_0,supermarket_Dynamic_1
24178,16122.0
48482,34438.0
72954,54816.0
97468,76622.0
121982,94918.0
146496,114574.0
171010,136310.0
195524,157116.0
220038,178562.0
244552,201268.0
269066,223854.0
293580,246330.0
318094,269476.0
342608,293462.0
367122,315958.0
391636,338564.0
416150,362770.0
440664,383126.0
465178,405412.0
489692,427988.0
514206,451054.0
538720,474510.0
563234,497236.0
587748,520282.0
612262,544488.0
636776,565934.0
661290,584070.0
685804,602446.0
710318,620162.0
734832,640028.0
759346,660134.0
783860,680380.0
808374,700786.0
832888,721242.0
857402,742938.0
881916,765774.0
906430,788800.0
930944,812356.0
955458,836152.0
979972,856198.0
1004486,878284.0
1029000,900880.0
1053514,924886.0
1078028,947762.0
1102542,970758.0
1127056,995354.0
1151654,1021566.0
1176252,1046608.0
1200850,1072860.0
1225658,1099762.0
1250802,1126718.0
1275988,1152362.0
1301216,1178594.0
1326444,1205446.0
1351672,1231528.0
1376900,1257260.0
1402128,1282942.0
1427398,1310032.0
1452668,1335682.0
1477938,1361662.0
1503208,1388162.0
1528520,1414220.0
1553832,1439798.0
1579144,1465916.0
1604456,1492154.0
1629768,1517692.0
1655080,1543040.0
1680392,1569678.0
1706124,1596496.0
1732234,1622466.0
1758386,1648224.0
1784706,1674304.0
1811068,1700342.0
1837892,1726568.0
1865136,1752184.0
1892380,1775570.0
1919624,1799516.0
1946994,1824396.0
1974448,1849222.0
2001902,1872378.0
2029356,1892974.0
2056810,1914620.0
2084264,1936456.0
2111718,1956202.0
2139172,1973628.0
2166626,1991404.0
2194080,2009630.0
2221534,2025796.0
2248988,2042542.0
2276442,2060478.0
2303896,2078034.0
2331350,2095740.0
2358804,2114186.0
2386258,2131572.0
2413712,2149428.0
2441166,2167774.0
2468620,2185160.0
2496074,2203226.0
2523528,2221272.0
2550982,2237058.0
2578436,2254374.0
2605890,2271990.0
2633344,2289666.0
2660798,2307272.0
2688252,2324988.0
2715706,2343224.0
2743160,2360870.0
2770614,2379216.0
2798068,2398372.0
2825522,2418258.0
2852976,2437924.0
2880430,2458590.0
2907884,2479796.0
2935338,2500432.0
2962792,2521788.0
2990246,2543394.0
3017700,2564280.0
3045154,2585856.0
3072608,2608532.0
3100062,2631438.0
3127516,2654884.0
3155054,2679906.0
3182592,2705148.0
3210130,2728790.0
3237668,2753552.0
3265206,2777864.0
3292744,2800096.0
3320282,2822738.0
3347820,2844760.0
3375358,2866962.0
3402896,2889314.0
3430434,2912926.0
3457972,2938148.0
3485510,2963390.0
3513048,2987762.0
3540586,3011394.0
3568124,3035846.0
3595662,3060538.0
3623200,3084300.0
3650738,3108122.0
3678276,3132744.0
3705814,3155026.0
3733352,3177948.0
3760890,3202150.0
3788428,3226982.0
3815966,3249994.0
3843504,3272586.0
3871042,3296318.0
3898580,3320470.0
3926118,3344132.0
3953656,3368644.0
3981194,3392446.0
4008732,3417108.0
4036270,3441380.0
4063808,3465312.0
4091346,3489694.0
4118884,3514046.0
4146422,3538308.0
4173960,3562950.0
4201498,3587022.0
4229036,3612264.0
