supermarket_EDLP_0,supermarket_Dynamic_1
416,414
367,509
229,194
612,763
798,476
304,309
344,834
480,419
806,510
231,457
825,642
278,500
362,527
650,73
381,616
452,362
680,567
676,634
42,409
893,752
493,356
371,475
375,763
328,337
592,261
793,839
476,483
282,466
461,665
470,396
595,578
554,425
402,380
724,500
325,632
244,206
778,772
249,546
674,492
560,299
653,523
78,700
515,311
598,480
681,560
509,756
284,262
532,683
778,499
302,276
350,651
394,376
865,560
142,517
847,760
465,181
367,598
561,608
418,482
626,511
119,608
934,417
472,470
317,274
382,750
620,506
352,694
741,296
580,701
175,434
605,319
552,501
592,601
549,394
47,417
595,915
805,138
342,543
559,358
624,531
369,609
201,384
732,683
453,645
298,287
920,567
401,810
246,233
683,428
569,744
239,622
378,296
689,418
656,435
490,658
150,711
738,60
595,599
483,684
505,382
495,583
258,280
613,664
642,390
167,525
757,670
301,654
393,151
909,609
140,868
492,102
388,708
756,483
481,342
335,816
469,536
439,334
849,459
472,738
292,451
664,435
386,573
572,460
534,237
395,434
616,581
624,881
9,154
824,534
428,470
580,575
154,797
680,206
451,490
362,694
559,574
799,275
391,714
239,190
572,655
693,699
351,497
543,406
453,419
334,432
513,797
842,584
498,202
343,418
489,484
604,691
477,640
518,241
462,811
596,112
246,804
468,205
584,749
450,314
724,760
538,466
173,616
490,431
448,289
886,722
195,651
609,419
347,523
677,109
156,635
511,421
567,909
847,143
436,610
503,325
125,700
738,320
348,759
517,544
562,221
659,653
200,366
553,587
419,780
871,533
416,519
164,449
924,286
107,550
527,300
551,824
590,242
379,744
639,538
403,344
421,351
644,600
513,635
581,370
157,546
536,569
574,556
540,533
334,364
900,613
272,707
676,212
379,570
337,336
418,930
889,116
432,496
221,876
486,220
711,709
597,568
229,526
356,175
756,660
203,254
693,916
577,527
331,168
650,697
303,266
571,629
573,611
568,712
625,148
429,591
517,436
402,781
638,263
94,514
628,406
411,785
490,382
753,636
223,522
495,599
840,103
140,539
408,528
700,602
385,471
824,761
494,481
253,189
489,795
309,129
615,859
626,570
579,74
534,570
588,712
80,239
836,836
84,610
933,86
144,708
648,385
589,517
628,525
125,628
716,602
582,349
275,576
758,715
450,208
330,608
487,327
271,454
856,593
210,794
826,448
214,330
719,491
283,590
670,562
382,629
345,134
597,715
313,716
547,480
754,160
240,882
501,25
826,931
189,224
725,499
618,737
208,168
675,771
519,362
480,436
176,752
612,301
827,747
438,377
276,733
495,392
341,499
509,615
639,171
630,545
581,702
186,532
705,137
207,928
763,396
254,210
806,609
278,806
484,405
791,199
279,897
393,314
580,449
341,775
524,106
751,563
305,477
479,517
575,564
256,767
791,186
645,549
358,676
458,707
228,83
503,682
742,615
527,431
264,540
562,393
507,406
642,752
581,338
194,764
637,449
461,530
560,573
529,212
344,352
812,980
498,25
117,974
547,107
688,639
307,412
487,735
656,580
172,352
913,552
221,290
802,755
393,603
477,132
562,844
383,483
367,616
462,40
488,934
831,388
190,262
