supermarket_EDLP_0,supermarket_Dynamic_1
70,72
70,74
70,72
70,74
70,72
70,70
70,72
70,70
70,72
70,70
70,72
70,70
70,72
70,70
70,72
70,70
70,72
70,74
70,72
70,74
70,72
70,74
70,76
70,74
70,72
70,74
70,72
70,70
70,72
70,70
70,72
70,70
70,68
70,70
70,72
70,70
70,72
70,70
70,68
70,66
70,68
70,70
70,68
70,70
70,72
70,74
70,72
70,74
70,72
70,70
70,72
70,70
70,72
70,70
70,72
70,70
70,72
70,74
70,72
70,74
70,76
70,74
70,76
70,74
70,76
70,74
70,76
70,74
70,76
70,74
70,72
70,74
70,76
70,74
70,76
70,78
70,76
70,78
70,76
70,78
70,80
70,78
70,80
70,78
70,76
70,78
70,80
70,78
70,80
70,82
70,80
70,78
70,80
70,82
70,84
70,86
70,84
70,86
70,88
70,86
70,88
70,86
70,88
70,86
70,88
70,90
70,88
70,86
70,88
70,90
70,88
70,90
70,88
70,86
70,88
70,86
70,84
70,86
70,88
70,86
70,84
70,86
70,84
70,82
70,84
70,86
70,88
70,86
70,88
70,86
70,88
70,90
70,88
70,90
70,92
70,90
70,88
70,90
70,88
70,90
70,92
70,90
70,88
70,90
70,92
70,94
70,92
70,90
70,92
70,94
70,96
70,94
70,92
70,94
70,92
70,94
70,92
70,94
70,92
70,94
70,92
70,94
70,92
70,90
70,92
70,90
70,88
70,90
70,88
70,90
70,88
70,90
70,88
70,90
70,88
70,90
70,88
70,90
70,88
70,86
70,88
70,86
70,88
70,90
70,88
70,86
70,84
70,82
70,84
70,82
70,84
70,82
70,84
70,82
70,80
70,82
70,84
70,86
70,84
70,86
70,88
70,86
70,84
70,82
70,84
70,86
70,84
70,86
70,84
70,86
70,84
70,86
70,88
70,86
70,88
70,86
70,84
70,82
70,84
70,82
70,84
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,82
70,80
70,78
70,80
70,78
70,80
70,78
70,76
70,78
70,80
70,78
70,80
70,78
70,76
70,78
70,76
70,78
70,80
70,82
70,80
70,78
70,80
70,82
70,80
70,82
70,80
70,82
70,84
70,86
70,84
70,82
70,84
70,86
70,84
70,86
70,84
70,86
70,88
70,86
70,84
70,86
70,84
70,86
70,84
70,86
70,88
70,86
70,88
70,86
70,88
70,90
70,88
70,90
70,88
70,90
70,88
70,90
70,92
70,90
70,92
70,94
70,92
70,90
70,92
70,90
70,88
70,90
70,92
70,90
70,88
70,90
70,88
70,90
70,92
70,90
70,92
70,90
70,92
70,94
70,96
70,94
70,96
70,98
70,100
70,98
70,100
70,98
70,96
70,98
70,96
70,98
70,100
70,98
70,100
70,98
70,100
70,102
70,100
70,102
70,104
70,102
70,104
70,102
70,104
70,102
70,104
70,102
70,100
70,102
70,100
70,102
70,100
70,98
70,100
70,98
70,100
70,98
70,100
70,98
70,96
