supermarket_EDLP_0,supermarket_Dynamic_1
19761,20271
39522,41222
59283,62213
79044,83236
98805,104523
118566,124854
138327,145055
158088,165698
177849,186007
197610,206614
217371,226809
237132,247590
256893,267753
276654,287966
296415,308563
316176,328724
335937,349461
355698,370706
375459,391681
395220,412724
414981,433839
434742,455144
454503,476781
474264,498654
494025,519513
513786,540582
533547,561865
553308,582410
573069,602639
592830,623226
612591,643505
632352,664102
652113,683807
671874,703680
691635,724079
711396,744242
731157,764675
750918,785246
770679,805111
790440,824006
810201,843287
829962,862994
849723,882603
869484,902596
889245,923229
909006,944210
928767,965255
948528,986316
968289,1007601
988050,1027866
1007811,1048371
1027572,1068678
1047333,1089297
1067094,1109682
1086855,1129925
1106616,1150210
1126377,1170775
1146138,1191890
1165899,1213095
1185660,1234242
1205421,1255947
1225182,1277870
1244943,1299747
1264704,1321308
1284465,1343177
1304226,1365054
1323987,1386651
1343748,1408524
1363509,1430137
1383270,1452170
1403031,1473249
1422792,1494546
1442553,1516401
1462314,1538140
1482075,1560269
1501836,1582532
1521597,1604905
1541358,1627612
1561119,1649833
1580880,1672714
1600641,1696141
1620402,1719064
1640163,1742425
1659924,1765782
1679685,1788149
1699446,1810854
1719207,1833813
1738968,1857010
1758729,1880457
1778490,1904270
1798251,1928527
1818012,1951794
1837773,1975189
1857534,1999358
1877295,2023999
1897056,2049054
1916817,2074069
1936578,2099608
1956339,2125605
1976100,2151498
1995861,2177573
2015622,2203282
2035383,2229435
2055144,2255204
2074905,2281487
2094666,2308236
2114427,2335161
2134188,2360888
2153949,2387101
2173710,2413502
2193471,2440005
2213232,2466694
2232993,2493431
2252754,2519270
2272515,2545087
2292276,2571382
2312037,2596755
2331798,2622124
2351559,2647871
2371320,2674120
2391081,2699587
2410842,2724734
2430603,2750205
2450364,2774620
2470125,2799599
2489886,2825170
2509647,2850925
2529408,2876762
2549169,2902971
2568930,2928796
2588691,2954943
2608452,2981384
2628213,3007989
2647974,3034864
2667735,3062175
2687496,3089824
2707257,3116463
2727018,3143016
2746779,3169505
2766540,3196296
2786301,3223509
2806062,3251134
2825823,3277931
2845584,3304714
2865345,3332305
2885106,3360188
2904867,3388651
2924628,3415984
2944389,3443605
2964150,3471944
2983911,3500705
3003672,3529720
3023433,3557697
3043194,3585554
3062955,3613395
3082716,3641384
3102477,3669237
3122238,3697300
3141999,3725199
3161760,3753178
3181521,3781401
3201282,3809280
3221043,3837535
3240804,3864784
3260565,3892065
3280326,3919822
3300087,3946765
3319848,3973264
3339609,3999693
3359370,4026548
3379131,4053027
3398892,4079464
3418653,4106007
3438414,4132788
3458175,4159233
3477936,4185990
3497697,4212425
3517458,4239098
3537219,4265931
3556980,4291692
3576741,4317813
3596502,4343594
3616263,4369793
3636024,4396296
3655785,4423287
3675546,4449600
3695307,4475151
3715068,4499706
3734829,4524433
3754590,4548750
3774351,4573289
3794112,4597678
3813873,4622255
3833634,4647018
3853395,4670863
3873156,4695136
3892917,4719975
3912678,4745344
3932439,4770475
3952200,4795954
3971961,4822065
3991722,4848106
4011483,4873495
4031244,4898004
4051005,4922649
4070766,4947704
4090527,4972911
4110288,4998292
4130049,5023365
4149810,5048404
4169571,5073529
4189332,5099102
4209093,5124873
4228854,5150772
4248615,5176655
4268376,5202936
4288137,5228555
4307898,5253024
4327659,5277647
4347420,5301972
4367181,5326379
4386942,5351286
4406703,5375049
4426464,5398962
4446225,5422659
4465986,5446718
4485747,5470747
4505508,5494372
4525269,5518185
4545030,5542188
4564791,5566009
4584552,5589740
4604313,5613611
4624074,5637644
4643835,5661391
4663596,5685172
4683357,5709139
4703118,5732920
4722879,5757071
4742640,5780712
4762401,5804435
4782162,5828572
4801923,5852371
4821684,5876356
4841445,5900231
4861206,5923908
4880967,5948099
4900728,5971186
4920489,5994255
4940250,6017196
4960011,6040285
4979772,6063806
4999533,6086041
5019294,6108850
5039055,6132063
5058816,6154998
5078577,6178137
5098338,6201658
5118099,6223915
5137860,6246526
5157621,6268889
5177382,6291638
5197143,6315049
5216904,6338990
5236665,6363113
5256426,6386296
5276187,6409541
5295948,6433192
5315709,6457045
5335470,6480964
5355231,6504713
5374992,6528944
5394753,6553763
5414514,6578870
5434275,6604365
5454036,6628924
5473797,6653687
5493558,6679010
5513319,6704427
5533080,6729518
5552841,6754609
5572602,6779928
5592363,6805639
5612124,6831962
5631885,6857109
5651646,6882132
5671407,6907139
5691168,6932224
5710929,6957419
5730690,6982896
5750451,7008769
5770212,7034510
5789973,7060501
5809734,7086412
5829495,7112659
5849256,7139288
5869017,7165845
5888778,7192400
5908539,7219117
5928300,7245550
5948061,7272429
5967822,7299036
5987583,7326183
6007344,7353430
6027105,7380987
6046866,7408968
6066627,7437283
6086388,7464384
6106149,7491553
6125910,7519084
6145671,7545509
6165432,7572406
6185193,7599585
6204954,7627136
6224715,7653549
6244476,7680062
6264237,7706757
6283998,7733598
6303759,7760783
6323520,7787914
6343281,7815543
6363042,7842704
6382803,7870377
6402564,7898660
6422325,7927275
6442086,7955846
6461847,7984857
6481608,8014316
6501369,8044195
6521130,8074136
6540891,8104363
6560652,8134712
6580413,8164245
6600174,8193688
6619935,8223131
6639696,8252864
6659457,8282933
6679218,8313042
6698979,8342997
6718740,8373358
6738501,8403335
6758262,8433946
6778023,8464747
6797784,8495970
6817545,8527231
6837306,8558490
6857067,8589771
6876828,8621132
6896589,8652791
6916350,8684204
6936111,8715661
6955872,8747486
6975633,8778419
6995394,8809220
7015155,8839913
7034916,8870688
7054677,8901857
7074438,8931810
7094199,8961787
7113960,8992168
7133721,9022041
7153482,9051936
7173243,9081867
7193004,9112174
7212765,9141459
