supermarket_EDLP_0,supermarket_Dynamic_1
219,323
422,611
590,207
711,491
417,325
358,773
580,189
389,815
845,301
534,597
427,692
612,363
206,515
604,249
369,661
639,380
782,527
362,705
404,149
368,770
696,271
734,406
125,742
928,219
280,580
533,702
408,202
709,562
461,304
478,504
270,505
869,444
304,683
797,738
496,220
415,456
632,560
519,556
338,390
427,577
690,270
559,846
362,518
464,450
396,434
732,194
279,400
422,689
913,494
401,348
340,877
451,412
530,412
453,249
693,596
397,392
940,812
427,375
224,455
817,568
490,358
518,702
145,388
559,250
548,467
524,558
653,509
432,729
514,184
673,473
627,607
266,562
734,248
143,601
543,499
672,505
635,444
324,752
635,309
613,332
479,436
195,701
931,509
275,250
766,648
287,650
759,172
531,494
149,850
831,242
349,565
375,293
447,690
433,583
908,495
314,300
426,679
540,229
555,653
683,208
646,667
155,642
909,460
112,559
635,242
509,414
595,573
445,341
672,763
136,464
849,339
467,590
416,384
755,332
82,672
723,487
461,307
711,630
452,597
617,357
474,745
517,217
374,406
395,655
742,712
507,37
267,766
914,407
262,415
444,631
862,650
480,169
434,766
154,187
908,673
405,424
473,631
409,176
512,696
494,345
513,416
385,471
824,740
489,455
285,460
807,578
269,582
688,144
561,399
383,867
833,535
59,214
816,335
633,600
132,269
983,804
480,556
453,68
574,575
330,706
822,353
281,231
603,748
680,229
525,661
509,158
272,493
822,870
293,424
537,216
917,687
244,134
564,468
526,865
501,77
550,402
383,574
568,604
545,491
939,195
180,372
681,678
625,391
531,577
520,123
967,792
84,350
653,198
907,664
93,490
889,91
394,585
457,220
966,443
362,693
420,426
1024,457
418,369
632,398
467,366
691,276
319,572
409,603
813,398
654,440
449,531
849,271
337,413
561,561
713,159
670,509
410,593
845,276
117,229
922,725
372,135
934,706
449,412
640,328
365,286
827,421
306,447
728,279
746,520
195,192
750,559
791,420
592,520
752,138
448,590
704,539
80,151
834,695
560,357
563,289
619,520
702,472
275,57
1108,667
161,469
500,282
1046,554
523,394
772,47
335,580
575,324
636,442
546,556
840,174
401,515
524,568
328,343
602,500
1136,115
51,592
822,498
639,382
674,462
406,181
891,640
475,203
348,585
612,190
652,601
877,333
148,192
645,483
1029,316
578,775
112,338
615,261
1013,265
526,608
712,373
412,257
350,642
898,205
223,390
718,674
603,189
527,596
838,290
790,403
554,239
602,782
416,395
501,103
690,716
566,327
738,235
276,675
809,276
280,295
606,632
1095,184
371,662
796,70
609,442
540,381
402,527
631,445
641,524
463,434
469,82
901,430
189,459
706,447
973,355
355,526
678,506
451,248
676,343
435,507
517,302
501,406
1050,561
322,289
750,606
440,207
460,506
847,358
283,458
882,237
862,538
124,539
850,391
688,443
405,190
344,601
1012,204
361,392
384,337
653,682
1074,226
49,488
613,334
601,607
732,292
869,203
246,494
1022,590
68,122
1022,750
384,135
803,523
249,367
517,327
1077,718
471,111
285,682
1007,134
674,409
202,563
635,191
810,731
397,380
911,135
284,395
634,692
846,418
94,312
1108,544
539,375
421,55
732,520
