supermarket_EDLP_0,supermarket_Dynamic_1
20643,19802
41286,40794
61929,62181
82572,84108
103215,105020
123858,126512
144501,147384
165144,168771
185787,190153
206430,211755
227073,234292
247716,257874
268359,280746
289002,303648
309645,326695
330288,349837
350931,373104
371574,397271
392217,421768
412860,446095
433503,470807
454146,496069
474789,522101
495432,548118
516075,574710
536718,602207
557361,629879
578004,658121
598647,685473
619290,714250
639933,744527
660576,773474
681219,803256
701862,833793
722505,864935
743148,896472
763791,929399
784434,962496
805077,993698
825720,1024775
846363,1055577
867006,1086169
887649,1118266
908292,1148618
928935,1177200
949578,1203192
970221,1230424
990864,1258646
1011507,1286728
1032150,1312725
1052793,1338402
1073436,1365404
1094079,1391081
1114722,1415483
1135365,1440525
1156008,1464962
1176651,1489189
1197294,1514321
1217937,1539008
1238580,1565010
1259223,1591552
1279866,1617294
1300509,1644206
1321152,1668718
1341795,1694020
1362438,1720697
1383081,1747089
1403724,1772866
1424367,1799038
1445010,1825875
1465653,1853917
1486296,1882319
1506939,1908316
1527582,1934898
1548225,1961345
1568868,1987817
1589511,2014144
1610154,2039866
1630797,2066498
1651440,2093325
1672083,2121932
1692726,2151414
1713369,2181366
1734012,2208938
1754655,2236945
1775298,2266072
1795941,2295269
1816584,2325406
1837227,2355953
1857870,2387225
1878513,2418327
1899156,2449169
1919799,2480221
1940442,2512103
1961085,2542370
1981728,2570462
2002371,2597914
2023014,2625796
2043657,2653533
2064300,2681065
2084943,2709172
2105586,2737774
2126229,2764681
2146872,2790498
2167515,2816825
2188158,2843672
2208801,2871789
2229444,2899286
2250087,2926948
2270730,2955330
2291373,2981622
2312016,3007994
2332659,3034246
2353302,3058423
2373945,3083410
2394588,3108202
2415231,3130804
2435874,3154261
2456517,3177698
2477160,3199090
2497803,3220142
2518446,3241509
2539089,3263716
2559732,3286968
2580375,3311075
2601018,3335222
2621661,3359869
2642304,3384656
2662947,3409808
2683590,3436095
2704233,3463472
2724876,3491214
2745519,3518721
2766162,3546418
2786805,3574240
2807448,3602357
2828091,3629934
2848734,3657486
2869377,3685373
2890020,3713155
2910663,3741772
2931306,3772044
2951949,3803101
2972592,3834528
2993235,3865730
3013878,3898292
3034521,3932109
3055164,3966166
3075933,4001152
3096702,4036463
3118269,4071226
3139836,4103704
3161403,4136702
3182970,4170780
3204537,4204108
3226104,4237716
3247671,4272459
3269238,4304417
3290805,4337185
3312372,4370628
3333939,4404911
3355506,4436919
3377073,4469062
3398640,4501170
3420207,4533488
3441774,4565296
3463341,4598444
3484908,4631802
3506475,4666415
3528042,4698693
3549609,4730756
3571176,4762684
3592743,4795787
3614310,4829105
3635877,4862588
3657444,4897356
3679557,4931953
3702174,4966206
3725085,5000185
3747996,5032114
3770907,5065058
3793860,5098440
3816813,5132062
3839766,5165139
3862719,5198231
3885672,5231148
3908709,5264956
3931746,5296734
3954783,5328367
3977820,5360995
4000857,5391283
4023894,5421986
4046931,5452104
4069968,5483382
4093005,5515175
4116042,5547448
4139079,5579131
4162116,5611289
4185153,5643297
4208190,5675240
4231227,5705353
4254264,5736251
4277301,5767934
4300338,5800262
4323375,5832030
4346412,5864783
4369449,5898261
4392486,5931554
4415607,5965518
4438854,5999356
4462353,6032832
4485978,6066787
4509939,6100336
4533900,6132135
4557861,6163934
4581822,6195873
4605783,6227597
4629744,6260451
4653705,6291885
4677666,6321729
4701627,6351568
4725588,6382502
4749549,6413326
4773510,6444325
4797471,6474839
4821432,6505953
4845393,6536942
4869354,6567731
4893315,6598245
4917276,6629244
4941237,6660708
4965198,6690187
4989159,6719516
5013120,6749725
5037081,6778394
5061042,6806673
5085003,6835867
5108964,6862811
5132925,6889985
5156886,6917844
5180847,6944088
5204808,6969787
5228769,6996496
5252730,7020920
5276691,7046009
5300652,7070703
5324613,7095927
5348574,7121991
5372535,7147765
5396496,7174104
5420457,7201228
5444418,7228772
5468379,7255801
5492340,7282820
5516301,7310114
5540262,7337898
5564223,7364412
5588184,7390181
5612145,7416185
5636106,7441924
5660067,7468028
5684028,7493852
5707989,7519856
5731950,7545740
5755911,7572114
5779872,7596628
5803833,7621902
5827794,7646361
5851755,7670850
5875716,7696154
5899677,7719838
5923638,7744172
5947599,7769121
5971560,7794070
5995521,7817399
6019482,7840968
6043443,7864402
6067404,7888656
6091365,7913315
6115326,7938029
6139287,7962753
6163248,7987672
6187209,8012771
6211170,8037210
6235131,8061694
6259092,8087208
6283053,8110612
6307014,8133911
6330975,8157995
6354936,8180374
6378897,8202403
6402858,8225137
6426819,8247841
6450780,8271115
6474741,8294784
6498702,8317983
6522663,8341357
6546624,8365461
6570585,8388910
6594546,8412744
6618507,8436648
6642468,8460037
6666429,8484376
6690390,8506560
6714351,8529524
6738312,8553548
6762273,8577247
6786234,8599601
6810195,8622105
6834156,8645114
6858117,8666418
6882078,8688067
6906039,8710656
6930000,8732930
6953961,8755764
6977922,8779398
7001883,8803027
7025844,8826426
7049805,8850065
7073766,8873709
7097727,8897453
7121688,8921177
7145649,8944591
7169610,8968380
7193571,8993009
7217532,9018373
7241493,9042907
7265454,9067731
7289415,9092340
7313376,9117114
7337337,9142393
7361298,9166922
7385259,9191621
7409220,9216455
7433181,9241399
7457142,9266238
7481103,9290837
7505064,9315911
7529025,9339200
7552986,9363249
7576947,9387948
7600908,9412392
7624869,9436951
7648830,9461545
7672791,9486554
7696752,9511438
7720713,9534882
7744674,9558126
7768635,9581625
7792596,9604924
7816557,9628388
7840518,9652487
7864479,9677391
7888440,9701925
7912401,9726474
7936362,9751878
7960323,9775287
7984284,9799531
8008245,9824155
8032206,9849584
8056167,9873518
8080128,9896767
8104089,9921031
8128050,9943035
8152011,9965864
